scientific_name,common_name,category,added_by
Abelmoschus esculentus,okra,plant,BP
Abramis brama,common bream,animal,JL
Acacia pennata,cha-om,plant,BP
Acanthocereus tetragonus,sword pear,plant,JL
Acanthocybium solandri,"Wahoo, ono",animal,JL
Acer nigrum,maple (syrup),plant,JL
Acer rubrum,maple (syrup),plant,JL
Acer saccharum,maple (syrup),plant,JL
Acipenseridae,"sturgeon, caviar",animal,JL
Actinidia deliciosa,kiwi,plant,BP
﻿Adansonia digitata,baobab,plant,BP
Aegle marmelos,"bael, Bengal quince",plant,JL
Aframomum laurentii,bongongoo,plant,BP
Agaricus arvensis,Horse mushroom,fungus,JL
Agaricus augustus,The prine,fungus,JL
Agaricus bisporus,common mushroom,fungus,BP
Agaricus bitorquis,Pavement mushroom,fungus,JL
Agaricus campestris,Field mushroom,fungus,JL
Agaricus xanthodermus,Yellow-staining mushroom,fungus,JL
Alces alces,moose,animal,BP
Allium ampeloprasum,wild leek,plant,BP
Allium cepa,onion,plant,BP
Allium cepa var. aggregatum,shallot,plant,BP
Allium fistulosum,"scallion, green onion",plant,BP
Allium porrum,garden leek,plant,BP
Allium sativum,garlic,plant,BP
Allium schoenoprasum,chive,plant,BP
Alocasia macrorrhizos,giant taro,plant,BP
Aloe,aloe,plant,JL
Alosinae,Shad†(incl. roe),animal,JL
Alpinia galanga,greater galangal,plant,BP
Amalocalyx microlobus,mak sim,plant,BP
Amaranthus cruentus,red amaranth,plant,BP
Amaranthus dubius,red spinach,plant,BP
Amomum subulatum,black cardamom,plant,BP
Amorphophallus konjac,konjac,plant,JL
Anacardium occidentale,cashew,plant,JL
Ananas comosus,pineapple,plant,BP
Anas,duck,animal,BP
Anas platyrhynchos,mallard duck,animal,BP
Anethum graveolens,dill,plant,BP
Anguilliformes,eel,animal,JL
Annona muricata,soursop,plant,BP
Anonidium mannii,bobo,plant,BP
Anoplopoma fimbria,"Sablefish, black cod",animal,JL
Anser anser,greylag goose,animal,BP
Apis mellifera,honeybee,animal,JL
Apium graveolens,celery,plant,BP
Arachis hypogaea,peanut,plant,BP
